time_taken,mistakes_made,hints_used,cells_filled_by_user,solved_successfully,cells_to_remove
97,1,0,51,1,32
99,0,0,49,1,33
132,1,0,50,1,33
88,0,0,48,1,34
87,1,0,51,1,31
131,1,0,54,1,24
109,1,0,51,1,22
132,1,0,52,1,26
148,0,0,52,1,29
118,1,0,48,1,32
121,1,0,52,1,28
100,0,0,49,1,30
125,1,0,54,1,26
149,0,0,49,1,22
148,1,0,48,1,29
105,1,0,50,1,34
85,1,0,51,1,34
96,1,0,53,1,33
83,1,0,54,1,34
139,1,0,50,1,24
101,0,0,53,1,23
112,1,0,49,1,27
97,0,0,50,1,24
102,0,0,50,1,33
119,1,0,52,1,32
100,1,0,54,1,30
148,1,0,48,1,25
147,0,0,48,1,23
178,2,2,39,0,17
252,3,2,40,1,15
217,4,2,42,0,16
167,4,0,45,0,18
298,4,0,39,1,14
172,4,2,41,1,14
254,2,0,41,1,21
204,3,1,39,1,19
203,4,1,47,1,16
248,4,1,44,1,15
285,2,0,42,0,16
241,4,2,46,1,15
292,3,2,40,1,16
294,2,1,38,1,16
190,2,0,38,1,17
174,2,1,38,1,18
255,4,0,45,0,18
298,2,0,41,1,21
170,2,2,46,0,20
227,2,2,43,1,18
246,2,1,43,0,18
272,4,0,40,0,14
276,2,2,40,1,15
231,3,1,42,0,14
196,4,1,38,1,14
153,4,0,39,1,16
168,4,1,38,1,18
281,3,2,43,1,19
154,2,1,44,1,20
203,4,1,44,0,16
279,4,0,43,0,18
211,4,0,43,0,17
255,4,1,44,0,21
253,4,2,47,1,14
156,2,0,40,1,18
211,2,0,45,0,21
220,2,2,46,1,17
293,2,1,40,0,17
197,3,2,43,1,18
243,4,1,41,1,14
239,4,2,47,1,17
271,4,1,41,1,15
171,2,2,44,1,18
201,2,1,43,1,14
227,4,2,39,1,18
278,4,0,45,1,18
252,3,1,44,1,16
266,4,2,38,0,18
249,2,1,47,1,18
197,3,0,42,0,21
163,2,2,42,1,18
224,2,1,44,1,15
169,4,1,40,0,17
150,2,0,39,1,17
219,4,1,43,0,20
207,3,1,40,1,20
275,3,2,46,0,21
277,3,0,46,1,14
214,2,1,38,1,17
160,3,0,43,1,14
200,2,2,47,1,14
267,4,0,45,0,18
166,2,0,44,1,21
204,4,0,39,1,14
210,4,1,45,0,19
160,3,2,40,1,21
169,4,0,42,1,16
222,4,2,46,0,18
286,4,0,43,1,21
151,2,2,43,0,16
199,3,2,38,0,14
287,3,2,39,1,21
160,2,1,46,1,15
213,2,2,47,1,17
224,2,2,40,1,21
164,3,1,40,1,20
179,3,2,43,0,19
257,4,2,46,1,17
182,4,2,47,1,14
228,2,2,42,0,14
271,4,2,43,0,14
248,3,2,42,0,21
281,4,1,39,1,20
222,2,1,43,1,17
159,4,2,47,1,16
287,4,0,45,1,21
183,4,0,43,1,20
271,4,1,46,1,20
185,4,1,45,0,21
176,2,2,39,1,14
261,2,2,44,1,17
300,2,1,43,1,20
265,2,0,47,1,15
242,4,1,44,0,17
170,3,1,38,1,18
209,2,2,46,1,20
272,4,1,42,1,14
203,3,2,44,0,20
207,3,0,44,0,21
191,4,1,42,1,15
156,3,1,40,1,19
264,2,1,41,1,18
264,3,1,38,1,19
277,2,2,38,1,15
200,4,1,40,1,18
224,3,2,39,1,18
214,3,0,47,0,17
271,4,0,42,1,20
287,2,2,40,1,14
274,2,0,41,1,20
232,4,2,44,1,21
162,2,2,44,0,21
208,2,0,42,0,14
191,2,2,44,1,20
188,2,0,46,0,16
188,2,2,44,0,20
298,3,1,39,0,15
292,2,2,44,1,17
275,4,1,44,1,20
168,3,0,39,1,21
236,2,1,46,0,18
207,2,1,41,0,14
214,3,1,45,1,14
252,4,1,46,1,16
255,2,1,47,0,17
193,3,0,47,1,19
170,3,0,46,1,15
241,2,2,39,0,16
201,4,0,45,0,19
230,2,2,38,1,20
211,3,2,44,0,21
176,4,1,40,0,14
263,2,1,45,1,18
185,4,2,45,1,17
173,3,1,44,0,21
238,3,1,44,1,14
199,2,1,39,0,15
252,2,0,45,1,16
153,2,2,42,0,16
299,4,0,40,1,18
245,2,0,43,0,20
172,3,1,42,0,18
189,3,2,43,1,16
272,3,0,40,0,20
286,3,2,38,1,20
272,3,2,39,0,17
256,4,0,45,1,15
216,3,1,39,1,15
183,3,2,44,1,18
272,4,1,46,0,15
169,4,0,40,1,15
251,3,0,42,1,21
236,4,2,40,0,20
227,3,0,41,0,15
181,3,2,43,1,20
193,2,1,41,0,16
298,2,1,46,0,18
249,2,0,43,1,21
284,2,0,47,1,21
300,4,2,43,1,18
256,2,0,41,1,18
264,4,1,42,1,19
170,4,2,41,1,21
215,3,0,40,1,14
205,4,0,44,0,19
171,4,2,44,1,17
166,4,2,40,1,15
270,3,2,42,1,18
167,2,1,40,1,19
266,3,0,41,1,21
212,4,1,40,1,20
213,2,1,45,1,14
257,4,0,44,1,15
153,2,1,44,1,15
157,3,2,45,1,14
156,2,1,38,0,21
283,2,2,46,1,20
223,4,0,46,1,18
205,4,1,44,1,15
182,3,0,45,1,16
169,2,2,38,0,21
185,3,1,38,0,19
235,2,2,46,1,19
279,2,1,41,0,17
227,3,0,40,1,19
281,2,0,42,1,18
175,3,1,42,1,20
232,2,0,44,1,21
250,2,2,44,0,15
154,2,0,47,0,15
300,3,0,44,1,14
155,2,0,46,0,15
276,3,2,43,0,16
250,3,2,45,1,17
291,2,1,45,1,20
186,4,0,47,1,18
181,3,0,45,0,20
159,3,0,46,1,21
183,2,1,39,1,21
223,2,1,39,1,20
449,5,4,30,0,9
472,6,2,21,1,5
591,6,4,35,0,9
601,9,2,33,0,5
393,10,3,31,1,6
354,8,2,27,0,8
494,10,2,29,0,7
393,9,3,23,0,8
639,8,4,37,1,6
681,10,3,35,0,12
384,8,2,25,1,10
635,6,3,22,0,11
491,10,5,23,0,7
319,6,2,35,0,10
486,6,2,32,1,6
576,8,4,31,1,8
324,6,2,27,1,10
600,8,3,29,0,7
385,10,5,34,0,11
652,6,5,32,0,13
560,8,4,25,0,7
482,9,3,23,1,6
564,7,5,37,0,10
478,7,4,32,0,9
445,6,3,21,0,10
484,9,3,32,0,6
423,6,2,34,1,8
616,5,3,37,1,6
631,7,4,30,0,9
627,6,4,20,0,6
613,6,2,33,0,11
488,10,5,33,0,8
333,5,3,30,1,6
624,9,4,30,0,12
698,10,3,27,1,8
659,5,3,24,1,13
613,9,4,29,0,12
468,9,2,23,1,13
426,9,5,20,0,6
340,6,5,36,1,13
540,9,2,26,0,10
528,9,2,29,0,10
601,8,2,27,0,6
695,5,2,34,0,9
316,6,3,23,1,6
352,8,4,27,0,13
587,5,5,24,0,9
425,7,5,24,0,11
363,7,4,29,0,13
406,7,3,26,1,7
449,6,4,28,0,11
528,5,3,26,0,13
514,10,2,37,0,9
307,9,3,22,0,8
685,8,2,37,0,13
588,10,3,25,1,9
578,10,5,35,0,8
695,5,4,24,1,8
345,7,5,32,0,5
428,8,3,24,1,12
538,6,5,33,1,7
680,9,3,30,0,10
432,5,3,37,1,10
546,7,4,21,0,12
329,8,2,32,0,6
661,5,5,28,0,8
595,7,5,28,0,9
526,8,4,31,0,13
393,5,4,26,1,9
441,5,4,27,0,13
307,7,5,31,1,5
525,7,5,37,1,13
303,7,2,29,1,11
419,5,3,23,1,9
454,9,4,37,1,7
674,9,2,21,0,8
675,6,2,36,1,11
593,9,2,23,0,9
337,6,2,33,1,12
686,7,5,23,1,7
311,5,2,29,0,12
514,7,4,21,0,9
461,8,3,23,0,11
374,6,5,26,0,6
436,5,3,24,0,13
384,9,5,33,1,11
493,6,5,28,0,6
342,6,5,27,0,5
395,8,2,30,1,11
434,9,4,28,0,6
474,7,2,23,0,5
446,6,5,22,1,10
405,10,3,24,0,9
671,10,3,26,0,7
680,6,3,21,1,12
312,10,3,29,0,5
397,9,3,35,0,8
644,10,2,20,0,12
581,6,3,30,0,13
389,9,2,25,0,6
676,5,5,30,0,10
579,7,5,32,0,13
378,9,2,37,1,11
447,7,3,27,1,10
306,6,4,24,0,10
420,7,2,23,1,8
447,6,3,20,1,8
447,7,3,27,1,10
568,10,2,21,0,10
600,8,3,31,1,8
620,10,5,23,0,7
440,10,3,22,1,10
508,5,5,25,1,9
681,9,5,37,0,10
624,6,2,21,0,5
471,6,3,34,1,11
492,6,2,21,0,11
473,10,4,22,0,8
300,9,4,26,0,12
595,7,4,22,0,5
305,6,4,35,1,13
347,6,5,36,1,9
611,7,5,27,0,13
547,9,4,21,1,11
613,10,5,20,1,7
663,9,5,34,0,6
493,5,3,22,0,10
323,8,2,36,1,11
618,7,3,32,1,12
586,7,2,32,0,9
489,6,3,29,1,6
394,9,3,25,0,5
406,5,2,22,0,8
546,6,5,27,0,8
570,10,2,32,0,7
657,9,3,32,0,8
446,10,4,21,0,10
379,5,4,34,0,9
564,8,5,27,0,5
380,10,3,34,0,7
439,6,3,23,1,8
420,10,3,26,0,5
300,9,2,30,1,7
534,10,3,24,0,7
336,6,2,36,1,9
638,6,4,37,0,12
373,7,3,23,0,11
589,10,2,32,1,8
669,8,4,24,0,10
389,6,2,25,0,12
452,7,5,29,0,7
461,5,3,25,0,12
680,9,3,35,0,12
442,5,4,24,1,9
672,9,2,20,0,10
545,8,3,25,0,6
496,6,5,35,1,12
681,6,2,31,0,13
530,9,4,34,0,13
637,8,3,20,1,10
591,10,3,27,1,9
530,5,3,37,0,6
676,8,5,21,0,13
355,8,5,30,0,7
621,9,2,27,1,12
609,10,5,25,0,12
606,10,4,31,0,13
599,10,3,33,0,10
430,8,5,28,1,10
383,5,2,21,1,11
396,10,4,20,0,6
587,7,5,21,0,11
354,6,2,37,0,12
447,7,2,23,0,13
413,10,2,20,0,12
344,5,3,35,0,11
505,10,3,24,0,7
623,5,4,30,0,9
679,8,3,22,0,6
432,6,4,25,1,7
668,7,4,20,1,6
676,9,3,25,0,12
613,5,5,23,0,5
699,8,5,22,0,10
586,6,4,28,0,7
608,10,2,22,1,10
385,10,4,23,0,11
376,6,3,23,1,12
386,8,4,24,1,11
454,9,2,24,1,5
427,10,5,26,1,9
339,9,5,36,0,7
687,7,5,33,0,5
597,9,5,20,1,8
417,6,3,25,0,5
577,9,3,20,0,6
348,6,3,30,0,7
644,8,2,31,0,5
626,9,4,36,0,5
452,8,5,20,0,12
83,1,0,49,1,22
107,0,0,50,1,26
82,0,0,48,1,23
92,0,0,54,1,24
101,1,0,51,1,25
102,0,0,54,1,27
116,0,0,49,1,23
126,0,0,49,1,28
96,1,0,48,1,35
139,1,0,51,1,35
105,1,0,52,1,23
145,0,0,51,1,28
81,0,0,48,1,23
131,1,0,54,1,24
150,1,0,53,1,29
87,1,0,49,1,27
123,0,0,54,1,25
109,0,0,54,1,29
87,0,0,54,1,33
123,1,0,48,1,32
114,0,0,50,1,34
106,0,0,53,1,23
141,0,0,50,1,26
85,1,0,49,1,26
87,1,0,50,1,26
145,0,0,51,1,34
89,1,0,54,1,24
128,1,0,49,1,24
118,1,0,49,1,22
88,0,0,50,1,22
80,1,0,53,1,30
128,1,0,49,1,32
124,0,0,53,1,28
102,0,0,51,1,23
90,1,0,54,1,33
111,0,0,53,1,26
135,1,0,50,1,26
147,1,0,53,1,35
115,1,0,48,1,26
109,1,0,49,1,24
98,0,0,49,1,25
128,0,0,50,1,33
108,0,0,53,1,35
104,0,0,54,1,27
82,0,0,48,1,29
134,0,0,48,1,25
89,0,0,50,1,31
108,1,0,48,1,33
82,1,0,54,1,27
104,1,0,54,1,24
92,0,0,51,1,35
114,0,0,52,1,35
123,1,0,53,1,25
82,0,0,54,1,30
136,1,0,49,1,31
108,1,0,54,1,30
93,1,0,50,1,28
83,0,0,48,1,30
146,0,0,52,1,27
82,1,0,52,1,35
88,0,0,50,1,25
134,1,0,51,1,30
93,1,0,53,1,23
95,0,0,54,1,28
99,0,0,53,1,25
110,1,0,51,1,24
145,1,0,51,1,35
115,0,0,51,1,26
82,0,0,49,1,34
92,0,0,52,1,30
102,1,0,52,1,27
106,1,0,54,1,32
122,1,0,49,1,33
129,0,0,50,1,35
147,0,0,49,1,26
111,0,0,49,1,31
86,1,0,49,1,34
120,1,0,51,1,32
93,0,0,48,1,22
141,1,0,52,1,25
110,0,0,51,1,31
101,1,0,50,1,23
137,0,0,52,1,23
83,1,0,52,1,26
92,0,0,53,1,22
91,0,0,50,1,29
149,0,0,52,1,29
127,1,0,50,1,27
111,1,0,51,1,32
129,1,0,48,1,24
131,1,0,48,1,31
105,1,0,53,1,26
125,0,0,52,1,32
148,1,0,48,1,27
106,1,0,54,1,24
118,0,0,50,1,26
142,1,0,49,1,23
88,1,0,49,1,27
139,1,0,52,1,29
97,1,0,49,1,23
109,1,0,50,1,24
110,0,0,50,1,31
131,0,0,48,1,33
91,1,0,49,1,35
145,0,0,53,1,23
103,1,0,52,1,22
120,0,0,48,1,35
112,1,0,48,1,32
145,0,0,51,1,26
143,1,0,52,1,28
110,1,0,51,1,31
85,0,0,49,1,35
123,0,0,49,1,31
88,0,0,48,1,32
128,1,0,53,1,27
92,1,0,53,1,28
89,0,0,52,1,25
134,1,0,52,1,26
86,1,0,48,1,24
135,1,0,48,1,35
112,1,0,48,1,25
120,0,0,51,1,26
130,1,0,49,1,22
134,1,0,50,1,25
107,0,0,48,1,23
126,0,0,53,1,24
140,0,0,53,1,25
146,1,0,48,1,34
142,1,0,54,1,27
125,1,0,48,1,22
149,1,0,48,1,30
105,0,0,51,1,28
142,0,0,54,1,34
110,0,0,49,1,30
104,1,0,54,1,28
103,1,0,48,1,32
81,0,0,50,1,25
128,1,0,54,1,26
118,0,0,52,1,31
99,0,0,48,1,31
89,1,0,50,1,29
87,0,0,53,1,25
140,0,0,54,1,26
97,0,0,53,1,27
122,1,0,49,1,28
95,0,0,50,1,27
101,0,0,51,1,27
90,1,0,50,1,31
144,1,0,54,1,34
144,0,0,51,1,31
140,0,0,49,1,22
106,1,0,51,1,29
126,1,0,48,1,35
116,1,0,52,1,33
136,1,0,52,1,33
83,1,0,52,1,34
93,1,0,49,1,22
90,0,0,54,1,22
93,0,0,52,1,22
121,0,0,48,1,28
119,0,0,52,1,30
149,0,0,51,1,26
92,1,0,53,1,33
80,1,0,49,1,33
104,0,0,48,1,34
83,1,0,48,1,31
146,0,0,48,1,32
146,0,0,49,1,30
119,0,0,49,1,26
128,0,0,49,1,23
137,1,0,48,1,23
132,0,0,50,1,26
94,1,0,51,1,30
85,0,0,53,1,30
83,1,0,54,1,27
121,1,0,52,1,31
126,1,0,51,1,34
95,0,0,51,1,30
113,0,0,48,1,29
144,0,0,51,1,26
137,1,0,51,1,32
108,0,0,50,1,25
132,0,0,52,1,34
119,0,0,49,1,28
115,1,0,54,1,30
127,0,0,50,1,22
81,0,0,52,1,32
119,1,0,50,1,30
106,1,0,50,1,31
98,0,0,51,1,32
104,1,0,49,1,31
98,0,0,48,1,27
148,0,0,54,1,25
113,1,0,51,1,28
135,1,0,52,1,33
146,0,0,53,1,24
110,0,0,53,1,24
132,0,0,54,1,22
114,1,0,51,1,27
89,0,0,54,1,33
170,3,2,42,0,21
181,2,0,44,1,15
228,2,1,45,0,15
299,2,0,38,1,20
283,2,0,47,0,19
239,3,0,46,1,17
214,4,0,43,0,18
292,3,0,47,1,19
161,3,2,38,1,20
151,2,2,45,1,15
255,2,2,41,1,15
180,2,2,46,1,16
212,4,1,47,1,19
220,4,1,45,1,20
217,4,1,44,0,17
151,4,0,40,0,16
220,3,1,42,0,15
194,4,0,40,0,14
259,4,2,39,1,16
221,2,1,43,1,17
202,2,2,45,1,17
201,2,0,40,1,16
265,2,2,40,0,18
223,3,0,40,1,20
163,4,1,38,1,19
257,4,2,41,1,20
293,3,2,39,1,15
154,3,0,46,1,19
277,2,1,44,1,17
239,4,2,38,1,20
208,3,0,46,1,17
289,3,2,43,1,20
227,2,0,45,0,20
225,3,1,44,1,14
266,2,2,41,0,16
275,2,1,44,1,16
295,2,0,40,1,17
255,2,1,43,1,21
249,2,2,45,1,14
232,4,2,43,0,19
256,4,2,38,1,18
155,3,1,41,1,14
232,3,1,42,1,17
154,4,0,44,1,17
279,4,2,41,1,17
150,2,1,45,1,14
230,3,1,40,0,17
239,4,2,44,0,20
166,2,1,44,0,21
279,3,0,42,0,15
246,4,1,47,0,18
260,2,2,38,1,16
256,3,1,39,0,14
192,4,0,45,0,18
206,4,1,47,1,18
284,2,2,42,1,19
297,4,2,43,1,20
191,4,1,39,0,17
204,4,0,39,1,17
284,3,2,43,0,16
225,2,2,39,1,21
272,2,1,44,1,15
189,4,0,40,1,14
161,2,0,40,1,14
298,4,2,40,0,20
156,4,0,38,1,21
292,3,0,42,1,18
284,4,2,44,0,21
256,3,1,43,1,15
231,4,0,41,1,20
250,4,1,39,1,15
206,4,0,40,1,20
191,3,2,44,1,16
237,4,1,46,1,16
219,4,2,40,1,15
255,2,2,46,0,21
297,4,2,43,1,19
298,3,0,43,1,20
197,2,0,44,1,14
248,4,0,46,1,21
174,4,2,43,1,14
289,3,2,45,0,16
244,2,2,47,0,16
229,4,1,46,0,20
171,2,2,43,0,16
154,3,1,45,1,18
160,4,1,44,0,19
245,3,0,41,0,18
230,3,1,40,0,17
285,3,2,45,1,18
202,2,1,44,1,17
287,2,1,39,1,17
234,4,0,47,0,20
207,3,0,45,1,21
207,4,1,43,1,19
214,3,1,40,1,20
232,3,1,42,0,16
188,4,2,38,1,14
241,4,1,47,0,17
191,2,2,47,1,15
247,4,0,40,1,21
217,3,0,40,1,19
272,2,0,39,1,20
158,4,0,41,0,15
162,2,1,43,1,16
230,2,1,40,1,14
211,4,2,39,1,21
260,2,2,47,0,21
282,3,0,42,1,16
210,4,0,40,0,21
274,4,1,39,0,20
254,4,1,41,0,19
206,4,0,44,0,17
174,4,1,42,0,20
235,2,0,40,1,17
283,4,0,41,1,14
268,2,1,43,0,19
257,2,0,40,1,15
160,4,1,41,0,15
166,3,0,40,0,17
197,2,1,38,1,19
251,2,2,42,1,16
206,4,0,43,1,20
289,2,0,40,1,19
191,2,1,45,1,16
185,3,1,41,0,14
271,2,0,47,0,15
252,3,2,42,0,15
236,3,2,47,0,19
282,4,0,47,1,20
230,4,2,39,0,15
215,4,2,41,0,20
162,3,1,43,0,16
246,3,1,40,0,19
253,3,2,39,1,14
168,2,0,39,1,15
228,3,1,39,1,17
229,4,0,44,1,19
156,3,1,43,0,15
229,2,1,38,1,15
291,4,1,39,1,16
254,4,1,44,1,16
194,2,0,45,0,20
280,2,1,42,1,19
241,2,0,41,1,17
243,3,0,42,1,17
253,4,0,43,1,20
153,3,0,47,0,14
238,3,1,46,0,14
282,2,2,43,1,15
296,2,1,38,1,19
270,2,2,46,1,14
193,3,0,47,1,16
203,2,1,46,1,20
233,2,1,41,1,14
231,4,2,40,0,20
167,3,2,46,1,19
276,3,0,44,0,15
278,3,1,44,0,15
190,4,1,46,1,20
216,4,1,43,1,19
266,4,0,46,1,18
245,2,2,47,0,16
282,2,0,44,1,19
157,2,0,45,1,14
207,2,0,46,1,21
300,2,1,40,1,20
175,2,0,44,1,17
172,4,1,42,0,18
213,3,2,46,1,18
213,2,0,39,1,21
274,2,0,40,1,15
187,3,1,38,1,16
152,2,0,44,1,20
288,3,1,40,1,14
184,2,0,38,1,15
254,4,2,45,1,17
185,2,2,44,0,17
156,2,1,39,0,16
242,2,2,44,0,17
182,4,1,43,0,16
169,3,1,42,1,17
163,4,1,38,0,15
270,3,0,38,0,17
290,3,2,41,0,20
234,3,2,38,1,14
222,3,1,44,0,15
172,3,2,43,0,16
216,4,1,44,1,15
244,3,1,44,1,17
170,4,1,41,1,16
186,3,0,44,0,21
153,4,0,47,1,19
276,2,1,40,0,17
208,2,2,42,1,14
186,4,1,38,1,15
165,4,2,41,0,17
291,4,0,39,1,17
284,2,2,42,1,18
236,4,0,43,1,15
364,10,4,27,1,12
556,8,2,24,0,7
472,5,5,28,0,7
484,6,5,23,0,13
694,9,4,25,1,12
452,10,5,37,1,13
651,9,2,29,1,12
550,5,2,27,0,6
372,6,3,30,0,8
440,8,4,31,1,13
495,5,2,22,0,6
333,6,3,34,0,12
359,6,4,22,1,13
317,8,5,22,1,7
443,6,5,22,1,12
334,9,2,23,0,5
606,8,2,25,0,12
511,6,2,32,0,6
439,7,5,27,0,7
565,7,2,25,0,10
681,10,2,34,0,8
690,8,4,29,0,8
443,7,2,27,1,13
457,5,3,35,0,9
583,8,4,33,1,10
652,7,4,23,1,12
605,8,3,31,1,12
330,9,3,33,0,9
686,6,3,26,0,9
667,5,5,26,1,10
451,9,4,35,0,9
676,9,2,20,1,8
387,6,3,28,0,8
525,8,2,25,0,10
451,7,3,22,0,7
404,6,4,20,0,5
328,6,5,29,0,5
458,9,5,22,0,10
460,8,2,31,0,5
438,6,2,37,0,13
667,5,5,23,0,12
417,9,5,23,0,6
322,8,4,33,0,9
366,10,2,34,0,13
590,10,4,28,0,9
493,7,5,26,0,8
371,5,4,29,1,13
608,5,3,31,0,5
470,6,2,23,0,8
524,8,2,36,0,12
661,9,5,23,0,9
573,6,2,35,0,13
504,5,5,35,0,9
693,5,2,24,0,7
317,6,5,25,0,12
364,5,4,25,0,13
527,10,3,22,1,9
541,5,5,21,0,6
620,9,4,26,1,12
684,5,3,23,0,10
507,8,4,36,0,8
339,6,2,20,1,7
444,6,5,31,0,8
301,7,2,21,0,9
558,10,2,37,0,6
700,8,3,36,1,12
652,9,2,29,0,5
309,8,2,33,1,12
670,10,2,20,1,10
645,10,5,33,1,9
441,6,3,31,1,8
579,10,2,33,1,10
372,7,2,31,0,6
451,9,2,24,1,7
593,5,4,26,0,6
549,7,4,24,0,6
514,5,4,20,0,7
476,6,4,34,1,12
319,6,3,32,0,10
624,9,2,31,0,7
569,9,2,36,0,8
450,9,2,34,0,13
553,5,3,30,0,5
324,8,2,26,0,7
477,10,5,35,1,5
555,7,4,27,1,6
362,8,4,20,0,12
499,7,2,23,0,5
587,7,4,24,1,6
561,6,2,20,0,10
698,5,3,32,0,10
541,10,5,20,0,9
571,10,4,28,1,10
386,10,4,23,0,5
678,7,4,21,0,8
623,10,2,29,0,5
393,7,3,25,1,6
346,8,5,36,1,5
612,8,2,20,0,8
352,9,5,37,1,5
609,6,4,37,1,5
433,7,4,34,0,8
691,10,3,33,1,12
385,7,2,23,0,11
337,9,2,28,0,12
600,7,3,32,0,11
581,6,5,30,1,6
415,8,5,35,0,7
643,8,2,28,0,13
620,5,2,27,1,11
615,5,5,36,0,12
603,9,5,25,0,12
481,10,2,24,0,9
636,5,4,35,1,6
400,7,5,36,0,9
385,10,4,26,0,9
411,7,2,21,0,10
357,5,4,33,0,6
315,8,5,20,0,11
607,9,5,32,0,7
612,5,5,28,0,6
674,10,3,24,1,12
389,5,4,22,1,10
490,7,3,34,0,5
459,5,5,21,1,9
446,10,5,28,1,11
628,9,4,35,0,11
333,9,4,27,0,10
326,10,3,33,1,8
698,5,4,30,1,5
534,10,5,29,1,8
647,9,2,24,1,11
308,7,3,37,1,11
543,7,5,24,1,6
327,9,4,36,1,6
412,8,2,32,1,9
539,5,4,24,0,9
563,5,3,27,1,5
644,8,5,32,1,10
502,9,3,37,0,5
591,6,2,23,0,7
670,10,3,24,1,6
511,5,3,32,0,8
511,9,2,29,1,12
671,5,4,26,0,8
482,7,5,24,0,11
659,9,5,23,0,13
484,8,5,22,1,13
694,7,4,22,0,9
615,5,4,25,0,6
684,6,3,35,1,7
583,6,2,36,0,7
446,5,5,33,1,9
323,8,2,22,1,9
517,8,3,33,0,9
481,8,2,22,1,9
497,10,2,32,0,11
537,10,5,28,0,12
646,5,5,28,0,8
